id,category,feature,description,priority,phase,status,depends_on,source,risk,notes
BL-063,Code Runner,Code execution policy object,"Define what local code may do and what requires permission.",P0,Code Runner,Planned,BL-034,New App,High,"Required before execution."
BL-064,Code Runner,Permission hooks,"Add permission hooks for running code and converting outputs.",P0,Code Runner,Planned,BL-063,New App,High,"Keep user in control."
BL-065,Code Runner,Code run request/result model,"Create structured request/result objects for code execution.",P0,Code Runner,Planned,BL-034,New App,High,"Should use service_result."
BL-066,Code Runner,Code tracker record model,"Track code, inputs, status, outputs, and produced artifacts.",P1,Code Runner,Planned,BL-065,New App,Medium,"Supports history and reproducibility."
BL-067,Code Runner,Captured logs/warnings/errors,"Capture stdout, warnings, errors, and diagnostics for each run.",P1,Code Runner,Planned,BL-065,New App,Medium,"Needed for user trust."
BL-068,Code Runner,Rerun previous code,"Allow rerunning a stored code run with the same or updated data.",P2,Code Runner,Planned,BL-066,New App,Medium,"Respect current permissions."
BL-069,Code Runner,Export reproducible script,"Export code run history and generated report code as a reproducible script.",P2,Code Runner,Planned,"BL-066; BL-015",New App,Medium,"Avoid mixing with AutoPlots code export until stable."
BL-070,Code Runner,GenAI proposed code approval,"Route GenAI code proposals through code runner approval.",P2,Code Runner,Planned,"BL-061; BL-064",New Idea,High,"Later GenAI integration."
BL-071,UI,Plot Builder polish,"Improve Plot Builder ergonomics without changing registry-driven behavior.",P1,UI/UX,Planned,BL-006,New App,Medium,"Preserve input IDs where possible."
BL-072,UI,Artifact Library card/list toggle,"Add alternate library views for scanning artifacts.",P2,UI/UX,Planned,BL-040,New App,Low,"Small UI improvement."
BL-073,UI,Report Plan preview polish,"Improve preview readability with section counts, badges, missing refs, and warnings.",P1,UI/UX,Planned,BL-021,New App,Medium,"Build on validation status."
BL-074,UI,Layout preview polish,"Make report previews feel presentation-ready.",P1,UI/UX,Planned,BL-039,New App,Medium,"Theme-compatible."
BL-075,UI,Better empty states,"Improve empty states across Data, Plot Builder, Artifact Library, Layouts, Export, and Project pages.",P1,UI/UX,Planned,BL-004,New App,Low,"Low risk, high polish."
BL-076,Settings,App settings page,"Create page for app settings and future GenAI/code runner settings.",P2,UI/UX,Planned,BL-003,New App,Medium,"Do not overbuild."
BL-077,Settings,Theme selector,"Expose light/dark/pimp theme selection in the UI.",P2,UI/UX,Planned,"BL-005; BL-076",New App,Low,"Can start as simple select."
BL-078,Settings,App theme persistence,"Save selected theme in project/app settings.",P2,UI/UX,Planned,"BL-077; BL-084",New App,Medium,"Clarify project vs app-level setting."
BL-079,Layouts,Carousel display mode,"Add carousel display for report artifacts.",P2,Report Builder,Planned,BL-012,New Idea,Medium,"Potential AutoPlots display_plots_carousel later."
BL-080,Layouts,Canvas/drag-drop layout,"Add drag/drop canvas display mode.",P3,Report Builder,Deferred,BL-021,New Idea,High,"Wait until grid/sections/plans are stable."
BL-081,UI,Resizable cards,"Allow resizable report artifact cards.",P3,UI/UX,Deferred,BL-080,New Idea,Medium,"Later layout polish."
BL-082,Platform,Permissions contract,"Define app-wide permission model for GenAI, code runner, export, and mutation actions.",P1,Platform,Planned,"BL-053; BL-063",New App,High,"Cross-cutting safety requirement."
BL-083,Platform,Role model,"Support future role/permission distinctions.",P2,Platform,Planned,BL-082,New Idea,High,"Probably deferred for local-first app."
BL-084,Platform,App settings persistence,"Persist app-level settings outside project state where appropriate.",P2,Platform,Planned,BL-076,New App,Medium,"Keep local-first."
BL-085,Platform,Audit log,"Create general audit log for important app actions.",P2,Platform,Planned,BL-082,New App,Medium,"Start small."
BL-086,Platform,GenAI audit log,"Track GenAI proposals, approvals, denials, and actions.",P2,Platform,Planned,"BL-054; BL-085",New Idea,High,"Required before Agent Mode."
BL-087,Platform,Code execution audit log,"Track code runner requests, approvals, execution, and outputs.",P1,Platform,Planned,"BL-036; BL-085",New App,High,"Required for trusted execution."
BL-088,Platform,Security review,"Review local execution, file access, export, Electron wrapper, and GenAI policy boundaries.",P1,Release,Planned,"BL-082; BL-087",New App,High,"Before packaged release."
BL-089,Platform,Packaged Electron release workflow,"Document and automate wrapper packaging flow.",P2,Platform,Planned,"BL-042; BL-088",New App,High,"Wrapper repo owns Electron-specific fixes."
BL-090,Docs,Installer/build docs,"Document local setup, dependency installation, Electron build, and release packaging.",P2,Platform,Planned,BL-089,New App,Medium,"Keep app vs wrapper ownership clear."
BL-091,Release,Sample datasets,"Provide useful sample datasets for smoke testing and demos.",P1,Release,Planned,BL-001,New App,Low,"Include transactional QA data."
BL-092,Release,Smoke test scripts,"Add repeatable smoke scripts for app launch and core workflows.",P1,Release,Planned,BL-041,New App,Medium,"Prefer lightweight scripts."
BL-093,Docs,README polish,"Keep README aligned with app structure, dependencies, AutoPlots dependency, and local development workflow.",P1,Release,Planned,BL-001,New App,Low,"Document local AutoPlots development path."
BL-094,Release,Dependency check,"Keep startup dependency checks friendly and accurate.",P0,Release,Planned,BL-001,New App,Medium,"Avoid dev-only load_all paths."
BL-095,Release,Release checklist,"Create checklist for browser Shiny, Electron, export, bundles, dependencies, and known limitations.",P1,Release,Planned,"BL-092; BL-096; BL-097",New App,Low,"Use before tagging releases."
BL-096,Release,Electron smoke test,"Run Electron wrapper smoke test before release.",P1,Release,Planned,BL-042,New App,Medium,"Separate wrapper repo fixes."
BL-097,Docs,Known limitations doc,"Document unsupported modules, export limitations, GenAI/code runner status, and Electron caveats.",P1,Release,Planned,BL-095,New App,Low,"Keep users oriented."
BL-098,Modules,SHAP Phase 1 scaffolding,"Add problem-type-specific SHAP contracts, registry entries, adapter shells, report-plan specs, and QA helpers without implementing SHAP computation.",P2,Analysis Modules,Done,"BL-045; BL-046",AutoQuant,Medium,"Regression and binary SHAP are scaffolded separately; multiclass and three-way interactions remain deferred."
BL-099,Modules,Regression SHAP app adapter,"Wire AutoQuant regression SHAP artifacts into the app artifact/report-plan workflow using precomputed Shap_ columns.",P1,Analysis Modules,Done,BL-098,AutoQuant,Medium,"AnalyticsShinyApp validates inputs and normalizes AutoQuant plot/table/text artifacts; it does not compute SHAP values."
BL-100,Modules,Binary Classification SHAP app adapter,"Wire AutoQuant binary classification SHAP artifacts into the app artifact/report-plan workflow using precomputed Shap_ columns.",P1,Analysis Modules,Done,BL-098,AutoQuant,Medium,"AnalyticsShinyApp validates positive class, prediction scale, threshold context, and normalizes AutoQuant plot/table/text artifacts; it does not compute SHAP values."
BL-101,Docs,CatBoost Builder architecture doc,"Document CatBoost Builder v1 scope, AutoQuant/app boundaries, scored output contract, downstream handoff, persistence, QA, and phases.",P1,Analysis Modules,Done,BL-027,AutoQuant,Medium,"Architecture only; no implementation."
BL-102,Modules,AutoQuant CatBoost Builder generator contract,"Define generate_catboost_builder_artifacts() contract, fixtures, output metadata, scored data contract, and QA helpers.",P0,Analysis Modules,Done,BL-101,AutoQuant,High,"AutoQuant owns training/scoring and returns artifacts, scored output, and downstream handoff metadata; support regression and binary only."
BL-103,Modules,Analytics Shiny App CatBoost Builder adapter,"Add app adapter after AutoQuant generator contract stabilizes; normalize artifacts and report plans.",P1,Analysis Modules,Done,BL-102,AutoQuant,High,"App validates config, calls only AutoQuant::generate_catboost_builder_artifacts(), preserves scored data metadata, and creates report plans."
BL-104,Modules,CatBoost downstream handoff UX,"Expose user-triggered actions from CatBoost Builder scored output to Model Assessment, problem-specific Model Insights, and problem-specific SHAP when valid.",P1,Analysis Modules,Done,BL-103,New App,Medium,"No automatic downstream execution; handoff uses scored_data and recommended configs through run_analysis_module()."
BL-105,Code Runner,Custom code hooks for workflow stages,"Create a lightweight hook contract so workflow stages can queue pre-stage, post-stage, or standalone exploratory code through the existing Code Runner without auto-running or bypassing local_trusted controls.",P1,Code Runner,Done,BL-036,New App,High,"Hooks create Code Runner draft requests with workflow-stage metadata; execution and output-to-artifact conversion remain user-triggered."
